date,dam_id,dam_name,surface_area_km2,cloud_pct,scene_id,threshold_used,historical_avg_km2,pct_of_avg
2026-09-12,sidi-salem,Sidi Salem,18.151,0.0,S2B_32SNF_20260909_0_L2A,0.05,28.8,63.0
2026-09-12,sidi-el-barrak,Sidi El Barrak,17.904,0.0,S2B_32SMF_20260909_0_L2A,0.05,15.5,115.5
2026-09-12,sejnane,Sejnane,0.001,0.0,S2B_32SNF_20260909_0_L2A,0.05,12.0,0.0
2026-09-12,joumine,Joumine,0.001,0.0,S2B_32SNF_20260909_0_L2A,0.05,8.0,0.0
2026-09-12,ghezala,Ghezala,0.001,0.0,S2B_32SNG_20260909_0_L2A,0.05,3.0,0.0
2026-09-12,zerga,Zerga,0.197,0.0,S2B_32SNF_20260909_0_L2A,0.05,1.5,13.2
2026-09-12,kasseb,Kasseb,0.017,0.0,S2B_32SMF_20260909_0_L2A,0.05,3.0,0.6
2026-09-12,beni-mtir,Beni Mtir,2.782,0.0,S2B_32SMF_20260909_0_L2A,0.05,3.5,79.5
2026-09-12,bou-heurtma,Bou Heurtma,4.367,0.0,S2B_32SMF_20260909_0_L2A,0.05,5.0,87.3
2026-09-12,barbara,Barbara,0.086,0.0,S2B_32SMF_20260909_0_L2A,0.05,4.0,2.2
2026-09-12,mellegue,Mellegue (Nebeur),0.006,0.0,S2B_32SMF_20260909_0_L2A,0.05,8.0,0.1
2026-09-12,sarrat,Sarrat,0.024,0.0,S2B_32SME_20260909_0_L2A,0.05,2.0,1.2
2026-09-12,siliana,Siliana,1.108,0.0,S2B_32SNE_20260909_0_L2A,0.05,3.0,36.9
2026-09-12,lakhmess,Lakhmess,0.005,0.0,S2B_32SNE_20260909_0_L2A,0.05,1.0,0.5
2026-09-12,rmil,Rmil,1.933,0.0,S2B_32SNF_20260909_0_L2A,0.05,1.5,128.8
2026-09-12,bir-mcherga,Bir Mcherga,0.622,0.0,S2B_32SNF_20260909_0_L2A,0.05,4.5,13.8
2026-09-12,el-aroussia,El Aroussia,0.000,0.0,S2B_32SNF_20260909_0_L2A,0.05,0.8,0.0
2026-09-12,el-houareb,El Houareb,0.018,0.0,S2B_32SNE_20260909_0_L2A,0.05,6.0,0.3
2026-09-12,nebhana,Nebhana,0.001,0.0,S2B_32SNE_20260909_0_L2A,0.05,3.5,0.0
2026-09-12,sidi-saad,Sidi Saad,3.107,0.0,S2B_32SNE_20260909_0_L2A,0.05,10.0,31.1
2026-09-12,chiba,Chiba,0.174,7.2,S2B_32SPF_20260906_0_L2A,0.05,0.7,24.9
2026-09-12,masri,Masri,0.066,0.0,S2B_32SPF_20260906_0_L2A,0.05,0.9,7.3
2026-09-12,lebna,Lebna,5.144,0.2,S2B_32SPF_20260906_0_L2A,0.05,3.0,171.5
2026-09-12,abid,Abid,0.000,0.0,S2B_32SMF_20260909_0_L2A,0.05,1.2,0.0
2026-09-12,tessa,Tessa,0.001,0.0,S2B_32SMF_20260909_0_L2A,0.05,1.5,0.0
2026-09-12,ziatine,Ziatine,3.186,0.0,S2B_32SNG_20260909_0_L2A,0.05,0.9,354.0
2026-09-12,gamgoum,Gamgoum,0.079,0.0,S2B_32SNF_20260909_0_L2A,0.05,0.6,13.1
2026-09-12,moula,Moula,0.001,0.0,S2B_32SMF_20260909_0_L2A,0.05,0.7,0.1
2026-09-12,melah,El Melah,1.163,46.5,S2C_32SNG_20260911_0_L2A,0.05,0.8,145.4
2026-09-12,harka,Harka,0.001,22.8,S2C_32SNG_20260911_0_L2A,0.05,0.7,0.2
2026-09-12,bou-hertma-lower,Bou Heurtma Lower,0.095,0.0,S2B_32SMF_20260909_0_L2A,0.05,0.9,10.5
2026-09-12,kebir,El Kebir,0.137,0.0,S2B_32SMF_20260909_0_L2A,0.05,0.9,15.2
2026-09-12,douimis,Douimis,,55.2,S2C_32SNG_20260911_0_L2A,0.05,0.5,
2026-09-12,el-breck,El Breck,0.009,0.0,S2B_32SNF_20260909_0_L2A,0.05,0.4,2.2
2026-09-12,sidi-abdelmoumen,Sidi Abdelmoumen,0.003,0.0,S2B_32SNE_20260909_0_L2A,0.05,0.9,0.4
2026-09-12,rmel,Rmel,0.012,0.9,S2B_32SPF_20260906_0_L2A,0.05,0.6,2.0
2026-09-12,el-abid,El Abid Upper,0.000,0.0,S2B_32SME_20260909_0_L2A,0.05,0.5,0.0
2025-06-26,sidi-salem,Sidi Salem,16.822,0.0,S2B_32SNF_20250626_0_L2A,0.05,28.8,58.4
2025-07-23,sidi-salem,Sidi Salem,16.297,0.0,S2A_32SNF_20250723_0_L2A,0.05,28.8,56.6
2025-08-25,sidi-salem,Sidi Salem,15.476,0.0,S2B_32SNF_20250825_0_L2A,0.05,28.8,53.7
2022-01-28,sidi-salem,Sidi Salem,17.742,0.0,S2A_32SNF_20220128_0_L2A,0.05,28.8,61.6
2022-02-22,sidi-salem,Sidi Salem,17.139,28.1,S2B_32SNF_20220222_0_L2A,0.05,28.8,59.5
2022-03-24,sidi-salem,Sidi Salem,17.171,12.3,S2B_32SNF_20220324_0_L2A,0.05,28.8,59.6
2022-04-08,sidi-salem,Sidi Salem,17.950,0.0,S2A_32SNF_20220408_0_L2A,0.05,28.8,62.3
2022-05-23,sidi-salem,Sidi Salem,17.481,0.0,S2B_32SNF_20220523_0_L2A,0.05,28.8,60.7
2022-06-17,sidi-salem,Sidi Salem,16.741,0.1,S2A_32SNF_20220617_0_L2A,0.05,28.8,58.1
2022-07-17,sidi-salem,Sidi Salem,16.013,0.0,S2A_32SNF_20220717_0_L2A,0.05,28.8,55.6
2022-08-26,sidi-salem,Sidi Salem,13.964,0.0,S2A_32SNF_20220826_0_L2A,0.05,28.8,48.5
2022-09-10,sidi-salem,Sidi Salem,13.314,0.0,S2B_32SNF_20220910_0_L2A,0.05,28.8,46.2
2022-10-20,sidi-salem,Sidi Salem,12.479,0.0,S2B_32SNF_20221020_0_L2A,0.05,28.8,43.3
2022-11-14,sidi-salem,Sidi Salem,12.142,0.0,S2A_32SNF_20221114_0_L2A,0.05,28.8,42.2
2022-12-04,sidi-salem,Sidi Salem,12.137,0.0,S2A_32SNF_20221204_0_L2A,0.05,28.8,42.1
2023-01-08,sidi-salem,Sidi Salem,12.381,0.0,S2B_32SNF_20230108_0_L2A,0.05,28.8,43.0
2023-02-22,sidi-salem,Sidi Salem,7.453,0.0,S2A_32SNF_20230222_1_L2A,0.05,28.8,25.9
2023-03-24,sidi-salem,Sidi Salem,13.050,0.0,S2A_32SNF_20230324_0_L2A,0.05,28.8,45.3
2023-04-08,sidi-salem,Sidi Salem,13.015,0.0,S2B_32SNF_20230408_0_L2A,0.05,28.8,45.2
